"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: cutoff","Param: parallelism","Param: size"
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,089363","0,004145","ms/op",0,2,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,620130","0,024006","ms/op",0,2,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"6,285273","0,153133","ms/op",0,2,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"93,994021","14,621735","ms/op",0,2,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,146387","0,014618","ms/op",0,4,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,591480","0,066860","ms/op",0,4,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"4,775444","0,366209","ms/op",0,4,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"52,648224","5,302377","ms/op",0,4,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,196302","0,023906","ms/op",0,8,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,621197","0,084208","ms/op",0,8,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"4,062915","0,714343","ms/op",0,8,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"38,004224","5,300004","ms/op",0,8,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,282401","0,095681","ms/op",0,16,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,650272","0,130414","ms/op",0,16,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"3,426188","0,599811","ms/op",0,16,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"30,082772","2,413010","ms/op",0,16,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,037163","0,003134","ms/op",256,2,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,416668","0,061722","ms/op",256,2,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"3,736232","0,552466","ms/op",256,2,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"40,175513","5,772783","ms/op",256,2,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,049640","0,003139","ms/op",256,4,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,320333","0,033090","ms/op",256,4,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"2,172589","0,200490","ms/op",256,4,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"22,577025","2,325448","ms/op",256,4,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,069617","0,005989","ms/op",256,8,1000
